customer_id,name,email,city,registration_date,days_since_registration,customer_segment,total_orders,total_spent,avg_order_value,max_order_value,first_order_date,last_order_date,suspicious_orders,clv_score,value_segment
21,Customer 21,customer21@email.com,Surabaya,2023-01-21,903,Veteran,7.0,2171.26,310.18,489.7,2024-01-01 07:00:00,2024-06-13 15:00:00,1.0,1354.77,VIP
22,Customer 22,customer22@email.com,Medan,2023-01-22,902,Veteran,7.0,1667.93,238.28,419.94,2024-01-02 10:00:00,2024-07-23 01:00:00,2.0,1045.59,VIP
23,Customer 23,customer23@email.com,Yogyakarta,2023-01-23,901,Veteran,6.0,1861.01,310.17,483.0,2024-01-28 19:00:00,2024-07-12 09:00:00,3.0,1165.62,VIP
24,Customer 24,customer24@email.com,Medan,2023-01-24,900,Veteran,1.0,469.71,469.71,469.71,2024-04-19 03:00:00,2024-04-19 03:00:00,1.0,331.8,Medium Value
25,Customer 25,customer25@email.com,Jakarta,2023-01-25,899,Veteran,6.0,1835.36,305.89,418.12,2024-02-03 15:00:00,2024-07-24 12:00:00,2.0,1149.8,VIP
26,Customer 26,customer26@email.com,Yogyakarta,2023-01-26,898,Veteran,5.0,815.25,163.05,255.83,2024-02-20 03:00:00,2024-07-02 09:00:00,0.0,520.45,High Value
27,Customer 27,customer27@email.com,Surabaya,2023-01-27,897,Veteran,3.0,676.02,225.34,291.05,2024-01-19 14:00:00,2024-04-10 22:00:00,0.0,437.15,High Value
28,Customer 28,customer28@email.com,Surabaya,2023-01-28,896,Veteran,6.0,1501.89,250.31,392.38,2024-01-07 09:00:00,2024-06-14 22:00:00,0.0,944.16,VIP
29,Customer 29,customer29@email.com,Surabaya,2023-01-29,895,Veteran,7.0,1774.8,253.54,443.39,2024-02-05 12:00:00,2024-05-24 09:00:00,1.0,1111.23,VIP
30,Customer 30,customer30@email.com,Yogyakarta,2023-01-30,894,Veteran,2.0,562.4,281.2,466.9,2024-06-01 16:00:00,2024-07-11 21:00:00,1.0,371.56,High Value
31,Customer 31,customer31@email.com,Jakarta,2023-01-31,893,Veteran,2.0,389.85,194.92,227.8,2024-04-04 03:00:00,2024-07-14 10:00:00,0.0,259.4,Medium Value
32,Customer 32,customer32@email.com,Jakarta,2023-02-01,892,Veteran,2.0,397.27,198.64,377.01,2024-03-10 09:00:00,2024-06-16 17:00:00,0.0,264.23,Medium Value
33,Customer 33,customer33@email.com,Surabaya,2023-02-02,891,Veteran,3.0,554.89,184.96,271.93,2024-01-07 15:00:00,2024-04-07 15:00:00,0.0,360.43,High Value
34,Customer 34,customer34@email.com,Jakarta,2023-02-03,890,Veteran,3.0,554.84,184.95,398.37,2024-02-14 03:00:00,2024-03-17 09:00:00,0.0,360.4,High Value
35,Customer 35,customer35@email.com,Jakarta,2023-02-04,889,Veteran,7.0,1133.06,161.87,242.15,2024-01-04 11:00:00,2024-07-15 23:00:00,0.0,717.02,VIP
36,Customer 36,customer36@email.com,Medan,2023-02-05,888,Veteran,4.0,903.72,225.93,327.2,2024-01-09 17:00:00,2024-05-09 15:00:00,0.0,576.82,High Value
37,Customer 37,customer37@email.com,Bandung,2023-02-06,887,Veteran,5.0,1713.63,342.73,446.3,2024-01-16 13:00:00,2024-04-06 02:00:00,2.0,1077.45,VIP
38,Customer 38,customer38@email.com,Bandung,2023-02-07,886,Veteran,3.0,543.97,181.32,340.27,2024-01-19 07:00:00,2024-06-05 01:00:00,0.0,353.51,High Value
39,Customer 39,customer39@email.com,Jakarta,2023-02-08,885,Veteran,12.0,3310.8,275.9,479.21,2024-01-22 18:00:00,2024-05-30 10:00:00,3.0,2050.07,VIP
40,Customer 40,customer40@email.com,Yogyakarta,2023-02-09,884,Veteran,6.0,1375.01,229.17,467.81,2024-02-24 20:00:00,2024-06-20 04:00:00,1.0,865.92,VIP
41,Customer 41,customer41@email.com,Bandung,2023-02-10,883,Veteran,9.0,2142.41,238.05,441.84,2024-01-06 08:00:00,2024-07-12 07:00:00,1.0,1336.25,VIP
42,Customer 42,customer42@email.com,Bandung,2023-02-11,882,Veteran,5.0,1016.86,203.37,465.09,2024-02-04 03:00:00,2024-05-15 09:00:00,1.0,645.45,VIP
43,Customer 43,customer43@email.com,Bandung,2023-02-12,881,Veteran,6.0,1102.34,183.72,458.27,2024-01-30 16:00:00,2024-06-15 00:00:00,1.0,697.78,VIP
44,Customer 44,customer44@email.com,Bandung,2023-02-13,880,Veteran,3.0,730.27,243.42,349.51,2024-03-21 19:00:00,2024-06-18 02:00:00,0.0,471.5,High Value
45,Customer 45,customer45@email.com,Medan,2023-02-14,879,Veteran,1.0,104.02,104.02,104.02,2024-07-26 03:00:00,2024-07-26 03:00:00,0.0,75.81,Medium Value
46,Customer 46,customer46@email.com,Bandung,2023-02-15,878,Veteran,4.0,707.44,176.86,455.5,2024-01-20 13:00:00,2024-04-13 16:00:00,1.0,454.15,High Value
47,Customer 47,customer47@email.com,Yogyakarta,2023-02-16,877,Veteran,9.0,2684.25,298.25,403.29,2024-01-25 10:00:00,2024-06-25 04:00:00,1.0,1667.38,VIP
48,Customer 48,customer48@email.com,Jakarta,2023-02-17,876,Veteran,3.0,637.57,212.52,323.24,2024-01-07 16:00:00,2024-07-21 23:00:00,0.0,412.79,High Value
49,Customer 49,customer49@email.com,Medan,2023-02-18,875,Veteran,6.0,1648.1,274.68,446.51,2024-01-20 06:00:00,2024-07-11 00:00:00,2.0,1034.33,VIP
50,Customer 50,customer50@email.com,Bandung,2023-02-19,874,Veteran,2.0,857.83,428.92,445.41,2024-05-06 19:00:00,2024-06-08 20:00:00,2.0,563.59,High Value
51,Customer 51,customer51@email.com,Bandung,2023-02-20,873,Veteran,6.0,1551.01,258.5,369.04,2024-01-24 03:00:00,2024-05-03 05:00:00,0.0,974.46,VIP
52,Customer 52,customer52@email.com,Medan,2023-02-21,872,Veteran,0.0,0.0,0.0,0.0,,,0.0,0.0,
53,Customer 53,customer53@email.com,Yogyakarta,2023-02-22,871,Veteran,6.0,1324.38,220.73,479.39,2024-01-06 00:00:00,2024-04-28 12:00:00,1.0,834.7,VIP
54,Customer 54,customer54@email.com,Yogyakarta,2023-02-23,870,Veteran,5.0,928.77,185.75,274.74,2024-01-17 00:00:00,2024-03-30 07:00:00,0.0,590.84,High Value
55,Customer 55,customer55@email.com,Surabaya,2023-02-24,869,Veteran,5.0,1423.44,284.69,417.87,2024-03-11 13:00:00,2024-06-05 19:00:00,1.0,897.53,VIP
56,Customer 56,customer56@email.com,Medan,2023-02-25,868,Veteran,3.0,835.44,278.48,415.01,2024-02-19 20:00:00,2024-05-19 09:00:00,1.0,538.11,High Value
57,Customer 57,customer57@email.com,Medan,2023-02-26,867,Veteran,3.0,682.79,227.6,342.54,2024-06-05 05:00:00,2024-07-23 20:00:00,0.0,441.43,High Value
58,Customer 58,customer58@email.com,Yogyakarta,2023-02-27,866,Veteran,6.0,1585.0,264.17,484.48,2024-01-26 03:00:00,2024-06-17 15:00:00,1.0,995.42,VIP
59,Customer 59,customer59@email.com,Yogyakarta,2023-02-28,865,Veteran,5.0,1417.69,283.54,472.91,2024-01-02 16:00:00,2024-07-16 08:00:00,2.0,893.97,VIP
60,Customer 60,customer60@email.com,Bandung,2023-03-01,864,Veteran,4.0,1346.83,336.71,439.79,2024-04-10 14:00:00,2024-06-06 07:00:00,2.0,853.77,VIP
61,Customer 61,customer61@email.com,Surabaya,2023-03-02,863,Veteran,3.0,982.9,327.63,440.85,2024-02-18 12:00:00,2024-03-28 14:00:00,1.0,631.5,High Value
62,Customer 62,customer62@email.com,Jakarta,2023-03-03,862,Veteran,4.0,1365.96,341.49,471.61,2024-02-02 09:00:00,2024-06-30 14:00:00,2.0,865.72,VIP
63,Customer 63,customer63@email.com,Jakarta,2023-03-04,861,Veteran,7.0,1839.39,262.77,482.11,2024-01-06 20:00:00,2024-07-12 08:00:00,1.0,1150.91,VIP
64,Customer 64,customer64@email.com,Yogyakarta,2023-03-05,860,Veteran,2.0,573.14,286.57,365.78,2024-04-12 11:00:00,2024-07-19 08:00:00,0.0,378.54,High Value
65,Customer 65,customer65@email.com,Jakarta,2023-03-06,859,Veteran,6.0,2350.69,391.78,488.25,2024-01-06 12:00:00,2024-07-24 10:00:00,3.0,1467.59,VIP
66,Customer 66,customer66@email.com,Medan,2023-03-07,858,Veteran,6.0,949.28,158.21,391.97,2024-04-22 06:00:00,2024-07-26 09:00:00,0.0,603.39,High Value
67,Customer 67,customer67@email.com,Bandung,2023-03-08,857,Veteran,3.0,717.33,239.11,331.72,2024-02-22 16:00:00,2024-05-15 19:00:00,0.0,463.31,High Value
68,Customer 68,customer68@email.com,Bandung,2023-03-09,856,Veteran,3.0,567.36,189.12,271.41,2024-06-16 23:00:00,2024-07-16 16:00:00,0.0,368.33,High Value
69,Customer 69,customer69@email.com,Yogyakarta,2023-03-10,855,Veteran,7.0,1204.69,172.1,362.18,2024-01-28 01:00:00,2024-07-16 17:00:00,0.0,761.02,VIP
70,Customer 70,customer70@email.com,Medan,2023-03-11,854,Veteran,4.0,1183.92,295.98,476.33,2024-02-06 05:00:00,2024-06-12 17:00:00,2.0,751.95,VIP
71,Customer 71,customer71@email.com,Jakarta,2023-03-12,853,Veteran,0.0,0.0,0.0,0.0,,,0.0,0.0,
72,Customer 72,customer72@email.com,Medan,2023-03-13,852,Veteran,4.0,603.45,150.86,270.91,2024-01-01 05:00:00,2024-06-19 05:00:00,0.0,389.16,High Value
73,Customer 73,customer73@email.com,Jakarta,2023-03-14,851,Veteran,7.0,1954.2,279.17,408.24,2024-02-19 13:00:00,2024-07-11 17:00:00,1.0,1221.44,VIP
74,Customer 74,customer74@email.com,Jakarta,2023-03-15,850,Veteran,2.0,740.12,370.06,376.61,2024-02-04 19:00:00,2024-06-09 21:00:00,0.0,487.08,High Value
75,Customer 75,customer75@email.com,Medan,2023-03-16,849,Veteran,11.0,2484.98,225.91,455.68,2024-01-31 21:00:00,2024-07-25 17:00:00,2.0,1546.58,VIP
76,Customer 76,customer76@email.com,Surabaya,2023-03-17,848,Veteran,5.0,1341.58,268.32,402.07,2024-01-27 15:00:00,2024-07-03 04:00:00,2.0,846.78,VIP
77,Customer 77,customer77@email.com,Yogyakarta,2023-03-18,847,Veteran,2.0,324.46,162.23,294.57,2024-05-08 08:00:00,2024-07-16 07:00:00,0.0,216.9,Medium Value
78,Customer 78,customer78@email.com,Surabaya,2023-03-19,846,Veteran,6.0,1422.51,237.08,490.48,2024-02-13 14:00:00,2024-06-08 08:00:00,1.0,895.21,VIP
79,Customer 79,customer79@email.com,Bandung,2023-03-20,845,Veteran,4.0,1838.48,459.62,475.64,2024-04-07 18:00:00,2024-06-17 07:00:00,4.0,1161.05,VIP
80,Customer 80,customer80@email.com,Jakarta,2023-03-21,844,Veteran,2.0,528.53,264.26,311.1,2024-02-08 08:00:00,2024-05-19 23:00:00,0.0,349.54,High Value
81,Customer 81,customer81@email.com,Medan,2023-03-22,843,Veteran,5.0,1653.53,330.71,386.11,2024-01-04 13:00:00,2024-07-10 11:00:00,0.0,1040.19,VIP
82,Customer 82,customer82@email.com,Surabaya,2023-03-23,842,Veteran,4.0,604.27,151.07,235.45,2024-03-14 11:00:00,2024-07-21 14:00:00,0.0,389.67,High Value
83,Customer 83,customer83@email.com,Surabaya,2023-03-24,841,Veteran,4.0,740.96,185.24,299.55,2024-02-13 11:00:00,2024-07-26 05:00:00,0.0,475.1,High Value
84,Customer 84,customer84@email.com,Jakarta,2023-03-25,840,Veteran,10.0,2312.61,231.26,481.56,2024-03-09 11:00:00,2024-07-09 23:00:00,2.0,1440.69,VIP
85,Customer 85,customer85@email.com,Jakarta,2023-03-26,839,Veteran,3.0,717.09,239.03,406.74,2024-02-13 13:00:00,2024-05-01 13:00:00,1.0,463.16,High Value
86,Customer 86,customer86@email.com,Jakarta,2023-03-27,838,Veteran,7.0,1981.19,283.03,442.04,2024-01-09 23:00:00,2024-06-16 03:00:00,3.0,1238.02,VIP
87,Customer 87,customer87@email.com,Surabaya,2023-03-28,837,Veteran,6.0,1690.44,281.74,466.96,2024-03-12 00:00:00,2024-07-16 00:00:00,2.0,1060.44,VIP
88,Customer 88,customer88@email.com,Medan,2023-03-29,836,Veteran,4.0,904.17,226.04,380.02,2024-01-01 14:00:00,2024-06-01 01:00:00,0.0,577.11,High Value
89,Customer 89,customer89@email.com,Jakarta,2023-03-30,835,Veteran,5.0,822.87,164.57,298.12,2024-02-29 21:00:00,2024-06-29 13:00:00,0.0,525.18,High Value
90,Customer 90,customer90@email.com,Jakarta,2023-03-31,834,Veteran,5.0,1266.94,253.39,386.69,2024-01-31 06:00:00,2024-05-04 10:00:00,0.0,800.5,VIP
91,Customer 91,customer91@email.com,Surabaya,2023-04-01,833,Veteran,2.0,702.68,351.34,404.16,2024-02-06 13:00:00,2024-07-19 09:00:00,1.0,462.74,High Value
92,Customer 92,customer92@email.com,Surabaya,2023-04-02,832,Veteran,6.0,933.85,155.64,276.87,2024-01-04 03:00:00,2024-05-21 04:00:00,0.0,593.87,High Value
93,Customer 93,customer93@email.com,Yogyakarta,2023-04-03,831,Veteran,3.0,773.73,257.91,410.16,2024-02-18 09:00:00,2024-07-04 11:00:00,1.0,499.03,High Value
94,Customer 94,customer94@email.com,Surabaya,2023-04-04,830,Veteran,1.0,262.32,262.32,262.32,2024-01-28 03:00:00,2024-01-28 03:00:00,0.0,186.62,Medium Value
95,Customer 95,customer95@email.com,Surabaya,2023-04-05,829,Veteran,5.0,1091.38,218.28,377.63,2024-02-14 05:00:00,2024-05-16 21:00:00,0.0,691.66,VIP
96,Customer 96,customer96@email.com,Bandung,2023-04-06,828,Veteran,4.0,1461.31,365.33,470.39,2024-01-09 07:00:00,2024-03-13 04:00:00,1.0,925.32,VIP
97,Customer 97,customer97@email.com,Yogyakarta,2023-04-07,827,Veteran,3.0,799.82,266.61,391.96,2024-03-02 21:00:00,2024-06-18 03:00:00,0.0,515.55,High Value
98,Customer 98,customer98@email.com,Surabaya,2023-04-08,826,Veteran,4.0,839.94,209.98,483.16,2024-02-15 20:00:00,2024-06-15 21:00:00,1.0,536.96,High Value
99,Customer 99,customer99@email.com,Medan,2023-04-09,825,Veteran,12.0,4070.67,339.22,497.91,2024-01-07 22:00:00,2024-07-18 12:00:00,4.0,2512.32,VIP
100,Customer 100,customer100@email.com,Surabaya,2023-04-10,824,Veteran,3.0,889.86,296.62,353.54,2024-01-01 16:00:00,2024-04-20 23:00:00,0.0,572.58,High Value
101,Customer 101,customer101@email.com,Bandung,2023-04-11,823,Veteran,4.0,1258.61,314.65,441.81,2024-05-15 03:00:00,2024-06-04 06:00:00,2.0,798.63,VIP
102,Customer 102,customer102@email.com,Medan,2023-04-12,822,Veteran,7.0,1499.52,214.22,423.47,2024-03-21 14:00:00,2024-07-20 20:00:00,2.0,942.13,VIP
103,Customer 103,customer103@email.com,Yogyakarta,2023-04-13,821,Veteran,5.0,1616.44,323.29,465.32,2024-01-01 00:00:00,2024-07-07 14:00:00,2.0,1017.19,VIP
104,Customer 104,customer104@email.com,Surabaya,2023-04-14,820,Veteran,8.0,2187.12,273.39,489.48,2024-01-17 10:00:00,2024-07-25 06:00:00,1.0,1363.61,VIP
105,Customer 105,customer105@email.com,Bandung,2023-04-15,819,Veteran,3.0,585.2,195.07,434.76,2024-02-12 14:00:00,2024-07-09 07:00:00,1.0,379.63,High Value
106,Customer 106,customer106@email.com,Bandung,2023-04-16,818,Veteran,6.0,627.24,104.54,287.23,2024-01-04 21:00:00,2024-05-04 02:00:00,0.0,404.8,High Value
107,Customer 107,customer107@email.com,Medan,2023-04-17,817,Veteran,5.0,869.62,173.92,255.95,2024-01-01 04:00:00,2024-07-11 11:00:00,0.0,554.16,High Value
108,Customer 108,customer108@email.com,Yogyakarta,2023-04-18,816,Veteran,5.0,1911.33,382.27,498.86,2024-03-21 10:00:00,2024-06-01 18:00:00,3.0,1200.03,VIP
109,Customer 109,customer109@email.com,Yogyakarta,2023-04-19,815,Veteran,8.0,1343.99,168.0,483.76,2024-02-04 01:00:00,2024-07-17 09:00:00,1.0,847.19,VIP
110,Customer 110,customer110@email.com,Jakarta,2023-04-20,814,Veteran,1.0,14.22,14.22,14.22,2024-05-17 00:00:00,2024-05-17 00:00:00,0.0,12.95,Low Value
111,Customer 111,customer111@email.com,Medan,2023-04-21,813,Veteran,7.0,1987.61,283.94,460.7,2024-02-17 14:00:00,2024-07-27 00:00:00,1.0,1241.96,VIP
112,Customer 112,customer112@email.com,Medan,2023-04-22,812,Veteran,3.0,893.58,297.86,322.73,2024-01-17 14:00:00,2024-06-15 17:00:00,0.0,574.93,High Value
113,Customer 113,customer113@email.com,Bandung,2023-04-23,811,Veteran,12.0,3202.78,266.9,496.69,2024-01-12 03:00:00,2024-07-24 04:00:00,2.0,1984.36,VIP
114,Customer 114,customer114@email.com,Surabaya,2023-04-24,810,Veteran,5.0,1041.51,208.3,295.72,2024-03-11 04:00:00,2024-07-22 23:00:00,0.0,660.74,VIP
115,Customer 115,customer115@email.com,Yogyakarta,2023-04-25,809,Veteran,4.0,1108.23,277.06,453.02,2024-01-31 13:00:00,2024-06-26 17:00:00,1.0,704.64,VIP
116,Customer 116,customer116@email.com,Yogyakarta,2023-04-26,808,Veteran,4.0,1053.8,263.45,331.81,2024-01-21 05:00:00,2024-07-22 03:00:00,0.0,670.62,VIP
117,Customer 117,customer117@email.com,Surabaya,2023-04-27,807,Veteran,9.0,2268.96,252.11,442.03,2024-01-26 08:00:00,2024-07-19 10:00:00,2.0,1413.59,VIP
118,Customer 118,customer118@email.com,Surabaya,2023-04-28,806,Veteran,9.0,2415.32,268.37,457.76,2024-01-26 22:00:00,2024-07-12 15:00:00,1.0,1503.03,VIP
119,Customer 119,customer119@email.com,Bandung,2023-04-29,805,Veteran,6.0,1549.69,258.28,414.91,2024-02-11 18:00:00,2024-06-05 09:00:00,1.0,973.64,VIP
120,Customer 120,customer120@email.com,Yogyakarta,2023-04-30,804,Veteran,7.0,1346.07,192.3,461.29,2024-01-17 01:00:00,2024-06-29 00:00:00,1.0,847.87,VIP
121,Customer 121,customer121@email.com,Jakarta,2023-05-01,803,Veteran,2.0,664.33,332.16,393.92,2024-02-19 17:00:00,2024-04-23 19:00:00,0.0,437.81,High Value
122,Customer 122,customer122@email.com,Bandung,2023-05-02,802,Veteran,6.0,1933.33,322.22,441.12,2024-01-01 09:00:00,2024-07-15 17:00:00,1.0,1210.22,VIP
123,Customer 123,customer123@email.com,Bandung,2023-05-03,801,Veteran,2.0,748.51,374.26,494.72,2024-01-13 19:00:00,2024-07-26 06:00:00,1.0,492.53,High Value
124,Customer 124,customer124@email.com,Yogyakarta,2023-05-04,800,Veteran,8.0,2447.56,305.94,496.15,2024-01-14 11:00:00,2024-07-15 21:00:00,3.0,1523.13,VIP
125,Customer 125,customer125@email.com,Medan,2023-05-05,799,Veteran,3.0,580.91,193.64,420.86,2024-01-24 08:00:00,2024-07-15 18:00:00,1.0,376.91,High Value
126,Customer 126,customer126@email.com,Medan,2023-05-06,798,Veteran,6.0,1530.16,255.03,443.58,2024-02-06 18:00:00,2024-07-23 10:00:00,1.0,961.6,VIP
127,Customer 127,customer127@email.com,Medan,2023-05-07,797,Veteran,7.0,1083.42,154.77,322.33,2024-01-26 11:00:00,2024-07-25 00:00:00,0.0,686.53,VIP
128,Customer 128,customer128@email.com,Jakarta,2023-05-08,796,Veteran,6.0,1815.74,302.62,497.79,2024-01-21 14:00:00,2024-07-24 22:00:00,2.0,1137.71,VIP
129,Customer 129,customer129@email.com,Yogyakarta,2023-05-09,795,Veteran,6.0,1088.4,181.4,315.34,2024-01-06 17:00:00,2024-06-21 05:00:00,0.0,689.18,VIP
130,Customer 130,customer130@email.com,Yogyakarta,2023-05-10,794,Veteran,9.0,2267.42,251.94,476.61,2024-01-13 07:00:00,2024-05-24 06:00:00,2.0,1412.65,VIP
131,Customer 131,customer131@email.com,Surabaya,2023-05-11,793,Veteran,8.0,1250.78,156.35,415.48,2024-01-01 19:00:00,2024-06-23 08:00:00,1.0,790.1,VIP
132,Customer 132,customer132@email.com,Yogyakarta,2023-05-12,792,Veteran,5.0,1417.12,283.42,468.06,2024-02-06 03:00:00,2024-07-02 21:00:00,1.0,893.61,VIP
133,Customer 133,customer133@email.com,Jakarta,2023-05-13,791,Veteran,6.0,1691.62,281.94,451.47,2024-02-04 09:00:00,2024-05-02 01:00:00,1.0,1061.17,VIP
134,Customer 134,customer134@email.com,Yogyakarta,2023-05-14,790,Veteran,3.0,284.96,94.99,155.01,2024-02-07 23:00:00,2024-05-15 18:00:00,0.0,189.47,Medium Value
135,Customer 135,customer135@email.com,Medan,2023-05-15,789,Veteran,2.0,308.96,154.48,234.42,2024-01-07 10:00:00,2024-01-18 17:00:00,0.0,206.82,Medium Value
136,Customer 136,customer136@email.com,Surabaya,2023-05-16,788,Veteran,2.0,391.66,195.83,335.18,2024-06-02 00:00:00,2024-07-05 06:00:00,0.0,260.58,Medium Value
137,Customer 137,customer137@email.com,Yogyakarta,2023-05-17,787,Veteran,5.0,1269.68,253.94,498.51,2024-02-24 15:00:00,2024-06-08 12:00:00,1.0,802.2,VIP
138,Customer 138,customer138@email.com,Medan,2023-05-18,786,Veteran,3.0,670.51,223.5,364.11,2024-02-16 18:00:00,2024-06-08 19:00:00,0.0,433.66,High Value
139,Customer 139,customer139@email.com,Yogyakarta,2023-05-19,785,Veteran,4.0,1032.6,258.15,388.84,2024-01-06 21:00:00,2024-07-18 07:00:00,0.0,657.38,VIP
140,Customer 140,customer140@email.com,Bandung,2023-05-20,784,Veteran,3.0,1003.51,334.5,495.26,2024-02-26 11:00:00,2024-07-19 16:00:00,1.0,644.56,VIP
141,Customer 141,customer141@email.com,Surabaya,2023-05-21,783,Veteran,6.0,1403.99,234.0,430.76,2024-03-05 08:00:00,2024-07-24 17:00:00,1.0,883.79,VIP
142,Customer 142,customer142@email.com,Jakarta,2023-05-22,782,Veteran,4.0,926.21,231.55,424.21,2024-03-27 17:00:00,2024-07-04 16:00:00,1.0,590.88,High Value
143,Customer 143,customer143@email.com,Medan,2023-05-23,781,Veteran,7.0,1298.4,185.49,371.97,2024-01-23 19:00:00,2024-06-25 22:00:00,0.0,818.59,VIP
144,Customer 144,customer144@email.com,Jakarta,2023-05-24,780,Veteran,7.0,1817.75,259.68,419.55,2024-01-14 08:00:00,2024-06-15 22:00:00,1.0,1137.62,VIP
145,Customer 145,customer145@email.com,Yogyakarta,2023-05-25,779,Veteran,7.0,2501.7,357.39,440.1,2024-02-10 15:00:00,2024-04-27 18:00:00,4.0,1557.76,VIP
146,Customer 146,customer146@email.com,Jakarta,2023-05-26,778,Veteran,6.0,1674.78,279.13,466.95,2024-02-11 22:00:00,2024-06-07 09:00:00,2.0,1050.78,VIP
147,Customer 147,customer147@email.com,Surabaya,2023-05-27,777,Veteran,7.0,2445.57,349.37,486.81,2024-01-15 01:00:00,2024-07-22 11:00:00,3.0,1523.28,VIP
148,Customer 148,customer148@email.com,Bandung,2023-05-28,776,Veteran,6.0,1936.21,322.7,441.0,2024-01-15 02:00:00,2024-07-13 08:00:00,3.0,1212.0,VIP
149,Customer 149,customer149@email.com,Bandung,2023-05-29,775,Veteran,7.0,1852.5,264.64,489.33,2024-02-08 07:00:00,2024-05-30 16:00:00,3.0,1158.96,VIP
150,Customer 150,customer150@email.com,Yogyakarta,2023-05-30,774,Veteran,1.0,404.49,404.49,404.49,2024-01-24 09:00:00,2024-01-24 09:00:00,1.0,286.14,Medium Value
151,Customer 151,customer151@email.com,Medan,2023-05-31,773,Veteran,4.0,725.28,181.32,262.43,2024-01-15 19:00:00,2024-04-26 11:00:00,0.0,465.3,High Value
152,Customer 152,customer152@email.com,Jakarta,2023-06-01,772,Veteran,4.0,1172.07,293.02,467.93,2024-01-16 23:00:00,2024-05-06 12:00:00,1.0,744.54,VIP
